"Manage Attachments","Gestion des pièces jointes"
"Product Attachments","Pièces jointes"
"Product Attachment","Pièces jointes"
"Manage Icons","Gestion des icônes"
"File Download","Télécharger le fichier"
"Add New Attachment","Ajouter une nouvelle pièce jointe"
"Delete Attachment(s)","Supprimer les pièces jointes"
"General Configuration","Configuration générale"
"Module Enable","Activer le module"
"Show On Product Details","Afficher sur les détails du produit"
"Show On Product Tab","Afficher sur l'onglet Produit"
"Show Attachment Size","Afficher la taille de la pièce jointe"
"Attachment Tab Label","Nom de l'onglet contenant la pièce jointe"
"Attachment Information","Informations sur la pièce jointe"
"Select Products","Sélection des produits"
"Save Attachment","Enregistrer la pièce jointe"
"New Attachment","Nouvelle pièce jointe"
"Attachment Name","Nom de la pièce jointe"
"Description","Description"
"File size must be less than %1 MB.","La taille du fichier doit être inférieure à %1 Mo."
"No File Uploaded","Aucun fichier téléchargé"
"Upload file or Enter url","Téléchargez le fichier ou entrez l'URL"
"Product ID","Identifiant du produit"
"Attachment has been saved.","La pièce jointe a été enregistrée."
"Fileicon","Icône de fichier"
"File Type","Type de fichier"
"Icon Image","Image de l'icône"
"ID","Identifiant"
"Add new Fileicon","Ajouter une nouvelle icône de fichier"
"Delete Productattach","Supprimer la pièce jointe"
"OPEN FILE","OUVRIR LE FICHIER"
"DELETE FILE","SUPPRIMER LE FICHIER"
"You deleted the Fileicon.","Vous avez supprimer l'icône du fichier."
"We can't find a Fileicon to delete.","Aucune icône de fichier à supprimer."
"Fileicons","Icônes de fichier"
"New Fileicon","Nouvelle icône de fichier"
"Edit Fileicon","Modifier l'icône de fichier"
"Please correct the data sent.","Veuillez corriger les données envoyées."
"This Fileicon no longer exists.","Cette icône de fichier n'existe plus."
"You saved the Fileicon.","L'icône de fichier a bien été enregistrée."
"Something went wrong while saving the Fileicon.","Une erreur est survenue lors de la sauvegarde de l'icône du fichier."
"The data has been deleted.","Les données ont été supprimées."
"We can't find a data to delete.","Les données à supprimer sont introuvables."
"The file has been deleted.","Le fichier a bien été supprimé."
"This Attachment no longer exists.","Cette pièce jointe n'existe plus."
"A total of %1 Attachment(s) were deleted.","%1 pièce(s) jointe(s) ont été supprimé."
"Something went wrong while saving the attachment.","Une erreur est survenue lors de la sauvegarde de la pièce jointe."
"Site Productattach","Pièce jointe du site"
"Product Attachment Section","Section des pièces jointes"
"Save","Enregistrer"
"Delete","Supprimer"
"Product Attachments","Pièces jointes"
"Enable","Activer"
"Disable","Désactiver"
"Could not save the fileicon: %1","Impossible d'enregistrer l'icône de fichier : %1"
"Fileicon with id "%1" does not exist.","L'icône de fichier avec l'identifiant "%1" n'existe pas."
"Could not delete the Fileicon: %1","Impossible de supprimer l'icône de fichier : %1"
"Something went wrong while saving the file(s).",""Une erreur est survenue pendant la sauvegarde des fichiers."
"File size must be less than 20KB. Large icon images will effect page load time.","La taille du fichier doit être inférieure à 20 Ko. Les grandes images d’icône affecteront le temps de chargement de la page."
"File can not be saved to the destination folder.","Impossible d'enregistrer le fichier dans le dossier de destination."
"no attachment found","Aucune pièce jointe trouvée"
"Download","Téléchargement"
"Goto URL","URL"
"--- No File ---","--- Aucun fichier ---"
"Edit","Modifier"
"File Extension/Type","Type de fichier"
"For ex. png txt zip","Par ex. png, txt, zip."
"Don't upload big sized icon image.","Ne téléchargez pas d'images de grande taille."
"Are you sure you wan't to delete selected Attachment(s)?","Êtes-vous sûr de vouloir supprimer les pièces jointes sélectionnées ?"
"Store","Magasin"
"Customer Group","Groupe de clients"
"Name","Nom"
"File","Fichier"
"Status","Statut"
"Delete image","Supprimer l'image"
"Size","Taille"
"File type","Type de fichier"
"Save Fileicon","Enregistrer l'icône de fichier"
"Maximum file size","Taille maximale du fichier"
"Upload","Télécharger"
"Select from Gallery","Sélectionner depuis la galerie"
"Browse to find or drag image here","Parcourir ou faire glisser l'image ici"
"Disallowed file type.","Type de fichier non autorisé."
"This feature is an open source module licenced under GPL-3.0, read more on our Github page https://github.com/mageprince/magento2-productAttachment.","Cette fonctionnalité est un module open source sous licence GPL-3.0, pour en savoir plus allez sur <a href='https://github.com/mageprince/magento2-productAttachment' target='_blank'>notre page GitHub</a>."